rank,youtuber,subscribers,video_views,video_count,category,started,views_per_video,subs_to_views_ratio,channel_age,subs_per_video,engagement_score,year
32,El Reino Infantil,64600000.0,60761135038.0,1486.0,Music,1970-01-01 00:00:00.000002011,40889054.534320325,0.0010631796124216438,13,43472.40915208614,940.5748457894737,1970
33,Infobells - Hindi,62600000.0,36328986679.0,678.0,Education,1970-01-01 00:00:00.000002014,53582576.222713865,0.0017231419239168038,10,92330.38348082596,580.3352504632588,1970
34,Wave Music,62100000.0,42833762859.0,20178.0,Music,1970-01-01 00:00:00.000002014,2122795.265090693,0.0014497909092045104,10,3077.6092774308654,689.754635410628,1970
35,Movieclips,61500000.0,62338500436.0,40704.0,Film & Animation,1970-01-01 00:00:00.000002006,1531507.9706171383,0.0009865492363445468,18,1510.9080188679245,1013.6341534308943,1970
36,Sony Music India,60700000.0,32118521781.0,4733.0,Music,1970-01-01 00:00:00.000002009,6786081.086203254,0.001889875269288004,15,12824.846820198605,529.1354494398682,1970
37,EminemMusic,60600000.0,30036530673.0,166.0,Music,1970-01-01 00:00:00.000002007,180942955.86144578,0.0020175432595640505,17,365060.2409638554,495.6523213366337,1970
38,Dude Perfect,60300000.0,17491404083.0,439.0,Sports,1970-01-01 00:00:00.000002009,39843745.06378132,0.0034474076359945244,15,137357.63097949885,290.0730362023217,1970
39,YRF,60300000.0,41359440414.0,4112.0,Film & Animation,1970-01-01 00:00:00.000002006,10058229.672665369,0.001457950093047891,18,14664.396887159533,685.8945342288557,1970
40,Taylor Swift,59300000.0,35440261917.0,269.0,Music,1970-01-01 00:00:00.000002006,131748185.56505576,0.0016732381983767155,18,220446.09665427508,597.6435399156829,1970
41,ZAMZAM ELECTRONICS TRADING,58300000.0,26789058165.0,17774.0,People & Blogs,1970-01-01 00:00:00.000002020,1507204.8028018454,0.002176261652832915,4,3280.072015303252,459.50357058319037,1970
42,Toys and Colors,57500000.0,66644295424.0,1253.0,Entertainment,1970-01-01 00:00:00.000002016,53187785.653631285,0.0008627895251075466,8,45889.86432561852,1159.0312247652173,1970
43,Marshmello,57200000.0,15744870591.0,485.0,Entertainment,1970-01-01 00:00:00.000002015,32463650.703092784,0.0036329291923616292,9,117938.14432989691,275.2599753671329,1970
44,LooLoo Kids - Nursery Rhymes and Children's Songs,57000000.0,34798159048.0,849.0,Music,1970-01-01 00:00:00.000002014,40987230.9163722,0.0016380176871246307,10,67137.80918727916,610.4940183859649,1970
45,BillionSurpriseToys  - Nursery Rhymes & Cartoons,56800000.0,11644948752.0,1064.0,Education,1970-01-01 00:00:00.000002013,10944500.706766916,0.004877651349924979,11,53383.45864661654,205.01670338028168,1970
